FOLD,ALGORITHM,PRE,REC,SPE,F1,GEO,IBA,AUC,ACC
0,RF,0.95,0.93,0.98,0.93,0.96,0.91,,0.9333333333333333
0,KNN,0.95,0.93,0.98,0.93,0.96,0.91,,0.9333333333333333
0,DTREE,0.95,0.93,0.98,0.93,0.96,0.91,,0.9333333333333333
0,GNB,0.95,0.93,0.98,0.93,0.96,0.91,,0.9333333333333333
0,LRG,0.54,0.67,0.92,0.58,0.62,0.59,,0.6666666666666666
0,ABC,0.95,0.93,0.98,0.93,0.96,0.91,,0.9333333333333333
0,MLP,0.95,0.93,0.98,0.93,0.96,0.91,,0.9333333333333333
0,KDA,0.95,0.93,0.98,0.93,0.96,0.91,,0.9333333333333333
0,SVM1,0.04,0.20,0.80,0.07,0.00,0.00,,0.2
0,SVM2,0.95,0.93,0.98,0.93,0.96,0.91,,0.9333333333333333
0,GPC,0.95,0.93,0.98,0.93,0.96,0.91,,0.9333333333333333
1,RF,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
1,KNN,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
1,DTREE,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
1,GNB,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
1,LRG,0.84,0.73,0.82,0.68,0.71,0.56,,0.7333333333333333
1,ABC,0.88,0.80,0.90,0.79,0.83,0.70,,0.8
1,MLP,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
1,KDA,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
1,SVM1,0.07,0.27,0.73,0.11,0.00,0.00,,0.26666666666666666
1,SVM2,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
1,GPC,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
2,RF,0.94,0.93,0.97,0.93,0.95,0.90,,0.9333333333333333
2,KNN,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
2,DTREE,0.94,0.93,0.97,0.93,0.95,0.90,,0.9333333333333333
2,GNB,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
2,LRG,0.50,0.67,0.83,0.56,0.57,0.51,,0.6666666666666666
2,ABC,0.90,0.87,0.93,0.86,0.89,0.80,,0.8666666666666667
2,MLP,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
2,KDA,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
2,SVM1,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
2,SVM2,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
2,GPC,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
3,RF,0.96,0.93,0.99,0.94,0.96,0.92,,0.9333333333333333
3,KNN,0.96,0.93,0.99,0.94,0.96,0.92,,0.9333333333333333
3,DTREE,0.96,0.93,0.99,0.94,0.96,0.92,,0.9333333333333333
3,GNB,0.96,0.93,0.99,0.94,0.96,0.92,,0.9333333333333333
3,LRG,0.57,0.67,0.95,0.59,0.64,0.62,,0.6666666666666666
3,ABC,0.96,0.93,0.99,0.94,0.96,0.92,,0.9333333333333333
3,MLP,0.93,0.87,0.98,0.87,0.91,0.84,,0.8666666666666667
3,KDA,0.96,0.93,0.99,0.94,0.96,0.92,,0.9333333333333333
3,SVM1,0.02,0.13,0.87,0.03,0.00,0.00,,0.13333333333333333
3,SVM2,0.96,0.93,0.99,0.94,0.96,0.92,,0.9333333333333333
3,GPC,0.96,0.93,0.99,0.94,0.96,0.92,,0.9333333333333333
4,RF,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
4,KNN,0.94,0.93,0.97,0.93,0.95,0.90,,0.9333333333333333
4,DTREE,0.94,0.93,0.97,0.93,0.95,0.90,,0.9333333333333333
4,GNB,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
4,LRG,0.59,0.73,0.87,0.64,0.66,0.61,,0.7333333333333333
4,ABC,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
4,MLP,0.94,0.93,0.97,0.93,0.95,0.90,,0.9333333333333333
4,KDA,0.94,0.93,0.97,0.93,0.95,0.90,,0.9333333333333333
4,SVM1,0.07,0.27,0.73,0.11,0.00,0.00,,0.26666666666666666
4,SVM2,0.94,0.93,0.97,0.93,0.95,0.90,,0.9333333333333333
4,GPC,0.94,0.93,0.97,0.93,0.95,0.90,,0.9333333333333333
5,RF,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
5,KNN,0.95,0.93,0.98,0.93,0.95,0.91,,0.9333333333333333
5,DTREE,0.94,0.93,0.96,0.93,0.94,0.89,,0.9333333333333333
5,GNB,0.91,0.87,0.95,0.87,0.90,0.81,,0.8666666666666667
5,LRG,0.44,0.60,0.85,0.49,0.51,0.46,,0.6
5,ABC,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
5,MLP,0.95,0.93,0.98,0.93,0.95,0.91,,0.9333333333333333
5,KDA,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
5,SVM1,0.07,0.27,0.73,0.11,0.00,0.00,,0.26666666666666666
5,SVM2,0.95,0.93,0.98,0.93,0.95,0.91,,0.9333333333333333
5,GPC,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
6,RF,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
6,KNN,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
6,DTREE,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
6,GNB,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
6,LRG,0.39,0.53,0.88,0.43,0.46,0.42,,0.5333333333333333
6,ABC,0.94,0.93,0.94,0.93,0.93,0.88,,0.9333333333333333
6,MLP,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
6,KDA,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
6,SVM1,0.04,0.20,0.80,0.07,0.00,0.00,,0.2
6,SVM2,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
6,GPC,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
7,RF,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
7,KNN,0.95,0.93,0.98,0.94,0.96,0.91,,0.9333333333333333
7,DTREE,0.95,0.93,0.98,0.94,0.96,0.91,,0.9333333333333333
7,GNB,0.95,0.93,0.98,0.94,0.96,0.91,,0.9333333333333333
7,LRG,0.95,0.93,0.98,0.94,0.96,0.91,,0.9333333333333333
7,ABC,0.90,0.80,0.95,0.81,0.86,0.74,,0.8
7,MLP,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
7,KDA,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
7,SVM1,0.04,0.20,0.80,0.07,0.00,0.00,,0.2
7,SVM2,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
7,GPC,0.95,0.93,0.98,0.94,0.96,0.91,,0.9333333333333333
8,RF,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
8,KNN,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
8,DTREE,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
8,GNB,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
8,LRG,0.83,0.67,0.83,0.60,0.67,0.50,,0.6666666666666666
8,ABC,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
8,MLP,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
8,KDA,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
8,SVM1,0.07,0.27,0.73,0.11,0.00,0.00,,0.26666666666666666
8,SVM2,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
8,GPC,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
9,RF,0.95,0.93,0.98,0.94,0.95,0.91,,0.9333333333333333
9,KNN,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
9,DTREE,0.91,0.87,0.95,0.87,0.90,0.81,,0.8666666666666667
9,GNB,1.00,1.00,1.00,1.00,1.00,1.00,,1.0
9,LRG,0.91,0.87,0.95,0.87,0.90,0.81,,0.8666666666666667
9,ABC,0.79,0.73,0.83,0.74,0.77,0.60,,0.7333333333333333
9,MLP,0.95,0.93,0.98,0.94,0.95,0.91,,0.9333333333333333
9,KDA,0.91,0.87,0.95,0.87,0.90,0.81,,0.8666666666666667
9,SVM1,0.02,0.13,0.87,0.03,0.00,0.00,,0.13333333333333333
9,SVM2,0.91,0.87,0.95,0.87,0.90,0.81,,0.8666666666666667
9,GPC,0.91,0.87,0.95,0.87,0.90,0.81,,0.8666666666666667
